Topology,Grid,Iterations,Time
4x1,200,100,0.016593
4x1,200,200,0.032099
4x1,200,300,0.047489
4x1,200,400,0.062718
4x1,200,500,0.077939
4x1,200,600,0.093168
4x1,200,700,0.108390
4x1,200,800,0.123611
4x1,200,900,0.138830
4x1,200,1000,0.154046
4x1,200,1100,0.169265
4x1,200,1200,0.184515
4x1,200,1300,0.199750
4x1,200,1400,0.214990
4x1,200,1500,0.230221
4x1,200,1600,0.245475
4x1,200,1700,0.260914
4x1,200,1800,0.276768
4x1,200,1900,0.292311
4x1,200,2000,0.307644
4x1,400,100,0.061651
4x1,400,200,0.122195
4x1,400,300,0.182504
4x1,400,400,0.242424
4x1,400,500,0.302510
4x1,400,600,0.362450
4x1,400,700,0.422493
4x1,400,800,0.482595
4x1,400,900,0.542553
4x1,400,1000,0.602713
4x1,400,1100,0.661414
4x1,400,1200,0.720099
4x1,400,1300,0.779029
4x1,400,1400,0.841295
4x1,400,1500,0.901671
4x1,400,1600,0.962120
4x1,400,1700,1.021015
4x1,400,1800,1.079741
4x1,400,1900,1.138453
4x1,400,2000,1.197134
4x1,800,100,0.238579
4x1,800,200,0.472322
4x1,800,300,0.706545
4x1,800,400,0.943611
4x1,800,500,1.177957
4x1,800,600,1.412844
4x1,800,700,1.648234
4x1,800,800,1.883972
4x1,800,900,2.119224
4x1,800,1000,2.354268
4x1,800,1100,2.589205
4x1,800,1200,2.825812
4x1,800,1300,3.060668
4x1,800,1400,3.295426
4x1,800,1500,3.530187
4x1,800,1600,3.764897
4x1,800,1700,3.999600
4x1,800,1800,4.234307
4x1,800,1900,4.469003
4x1,800,2000,4.703714
4x1,1200,100,0.530765
4x1,1200,200,1.065699
4x1,1200,300,1.603561
4x1,1200,400,2.140722
4x1,1200,500,2.678986
4x1,1200,600,3.210998
4x1,1200,700,3.735584
4x1,1200,800,4.259672
4x1,1200,900,4.783552
4x1,1200,1000,5.307517
4x1,1200,1100,5.835251
4x1,1200,1200,6.360162
4x1,1200,1300,6.885297
4x1,1200,1400,7.410433
4x1,1200,1500,7.935643
4x1,1200,1600,8.461130
4x1,1200,1700,8.988237
4x1,1200,1800,9.513944
4x1,1200,1900,10.040346
4x1,1200,2000,10.566335
4x1,1500,100,0.834439
4x1,1500,200,1.692757
4x1,1500,300,2.557028
4x1,1500,400,3.408845
4x1,1500,500,4.235299
4x1,1500,600,5.055726
4x1,1500,700,5.879026
4x1,1500,800,6.709405
4x1,1500,900,7.548561
4x1,1500,1000,8.380702
4x1,1500,1100,9.217894
4x1,1500,1200,10.055576
4x1,1500,1300,10.918390
4x1,1500,1400,11.777761
4x1,1500,1500,12.599103
4x1,1500,1600,13.423346
4x1,1500,1700,14.257391
4x1,1500,1800,15.093176
4x1,1500,1900,15.935009
4x1,1500,2000,16.758311
2x2,200,100,0.016336
2x2,200,200,0.032092
2x2,200,300,0.047810
2x2,200,400,0.063354
2x2,200,500,0.079019
2x2,200,600,0.095100
2x2,200,700,0.110963
2x2,200,800,0.126969
2x2,200,900,0.142726
2x2,200,1000,0.158823
2x2,200,1100,0.174929
2x2,200,1200,0.190858
2x2,200,1300,0.206936
2x2,200,1400,0.222874
2x2,200,1500,0.238872
2x2,200,1600,0.254864
2x2,200,1700,0.271159
2x2,200,1800,0.287725
2x2,200,1900,0.303297
2x2,200,2000,0.318846
2x2,400,100,0.061168
2x2,400,200,0.121297
2x2,400,300,0.180848
2x2,400,400,0.240114
2x2,400,500,0.299511
2x2,400,600,0.359061
2x2,400,700,0.418781
2x2,400,800,0.480248
2x2,400,900,0.541242
2x2,400,1000,0.602189
2x2,400,1100,0.664053
2x2,400,1200,0.725901
2x2,400,1300,0.788203
2x2,400,1400,0.850896
2x2,400,1500,0.911903
2x2,400,1600,0.972410
2x2,400,1700,1.032944
2x2,400,1800,1.093788
2x2,400,1900,1.154439
2x2,400,2000,1.215620
2x2,800,100,0.237223
2x2,800,200,0.471320
2x2,800,300,0.706390
2x2,800,400,0.944221
2x2,800,500,1.179638
2x2,800,600,1.415361
2x2,800,700,1.651399
2x2,800,800,1.887277
2x2,800,900,2.122281
2x2,800,1000,2.359749
2x2,800,1100,2.600018
2x2,800,1200,2.842143
2x2,800,1300,3.078169
2x2,800,1400,3.313095
2x2,800,1500,3.552594
2x2,800,1600,3.792015
2x2,800,1700,4.031102
2x2,800,1800,4.269617
2x2,800,1900,4.505536
2x2,800,2000,4.740627
2x2,1200,100,0.535562
2x2,1200,200,1.065715
2x2,1200,300,1.596078
2x2,1200,400,2.137899
2x2,1200,500,2.673388
2x2,1200,600,3.200805
2x2,1200,700,3.726397
2x2,1200,800,4.252237
2x2,1200,900,4.778269
2x2,1200,1000,5.304422
2x2,1200,1100,5.832672
2x2,1200,1200,6.359193
2x2,1200,1300,6.887140
2x2,1200,1400,7.414474
2x2,1200,1500,7.948996
2x2,1200,1600,8.481345
2x2,1200,1700,9.021894
2x2,1200,1800,9.565460
2x2,1200,1900,10.113267
2x2,1200,2000,10.645076
2x2,1500,100,0.829301
2x2,1500,200,1.651284
2x2,1500,300,2.474144
2x2,1500,400,3.300059
2x2,1500,500,4.140705
2x2,1500,600,4.982741
2x2,1500,700,5.826256
2x2,1500,800,6.655312
2x2,1500,900,7.521588
2x2,1500,1000,8.375794
2x2,1500,1100,9.218692
2x2,1500,1200,10.051027
2x2,1500,1300,10.876134
2x2,1500,1400,11.701551
2x2,1500,1500,12.533812
2x2,1500,1600,13.380028
2x2,1500,1700,14.214284
2x2,1500,1800,15.066356
2x2,1500,1900,15.922224
2x2,1500,2000,16.760185
1x4,200,100,0.017300
1x4,200,200,0.033789
1x4,200,300,0.049930
1x4,200,400,0.065849
1x4,200,500,0.081698
1x4,200,600,0.097538
1x4,200,700,0.113545
1x4,200,800,0.129779
1x4,200,900,0.145619
1x4,200,1000,0.161439
1x4,200,1100,0.177262
1x4,200,1200,0.193083
1x4,200,1300,0.208902
1x4,200,1400,0.224722
1x4,200,1500,0.240589
1x4,200,1600,0.256634
1x4,200,1700,0.273126
1x4,200,1800,0.289739
1x4,200,1900,0.305696
1x4,200,2000,0.321375
1x4,400,100,0.063862
1x4,400,200,0.126645
1x4,400,300,0.188017
1x4,400,400,0.248595
1x4,400,500,0.308992
1x4,400,600,0.369575
1x4,400,700,0.430244
1x4,400,800,0.490972
1x4,400,900,0.551822
1x4,400,1000,0.614278
1x4,400,1100,0.675142
1x4,400,1200,0.735907
1x4,400,1300,0.798560
1x4,400,1400,0.859978
1x4,400,1500,0.921802
1x4,400,1600,0.983564
1x4,400,1700,1.046057
1x4,400,1800,1.108344
1x4,400,1900,1.170626
1x4,400,2000,1.233454
1x4,800,100,0.239041
1x4,800,200,0.475342
1x4,800,300,0.711956
1x4,800,400,0.955828
1x4,800,500,1.196031
1x4,800,600,1.437888
1x4,800,700,1.679770
1x4,800,800,1.918140
1x4,800,900,2.154913
1x4,800,1000,2.394276
1x4,800,1100,2.630888
1x4,800,1200,2.874436
1x4,800,1300,3.119021
1x4,800,1400,3.362389
1x4,800,1500,3.604477
1x4,800,1600,3.850040
1x4,800,1700,4.091857
1x4,800,1800,4.333172
1x4,800,1900,4.571281
1x4,800,2000,4.808625
1x4,1200,100,0.531956
1x4,1200,200,1.063793
1x4,1200,300,1.595994
1x4,1200,400,2.129629
1x4,1200,500,2.662607
1x4,1200,600,3.196951
1x4,1200,700,3.737816
1x4,1200,800,4.283069
1x4,1200,900,4.824791
1x4,1200,1000,5.363726
1x4,1200,1100,5.905970
1x4,1200,1200,6.449916
1x4,1200,1300,6.988802
1x4,1200,1400,7.531202
1x4,1200,1500,8.077775
1x4,1200,1600,8.628396
1x4,1200,1700,9.180513
1x4,1200,1800,9.735287
1x4,1200,1900,10.270039
1x4,1200,2000,10.804300
1x4,1500,100,0.837166
1x4,1500,200,1.666691
1x4,1500,300,2.497833
1x4,1500,400,3.337161
1x4,1500,500,4.186321
1x4,1500,600,5.044201
1x4,1500,700,5.915796
1x4,1500,800,6.749323
1x4,1500,900,7.582553
1x4,1500,1000,8.415384
1x4,1500,1100,9.250781
1x4,1500,1200,10.084256
1x4,1500,1300,10.939012
1x4,1500,1400,11.794532
1x4,1500,1500,12.650373
1x4,1500,1600,13.490095
1x4,1500,1700,14.371882
1x4,1500,1800,15.241749
1x4,1500,1900,16.099021
1x4,1500,2000,16.934948
