Topology,Grid,Iterations,Time
4x1,200,100,0.017130
4x1,200,200,0.033137
4x1,200,300,0.049051
4x1,200,400,0.064860
4x1,200,500,0.080669
4x1,200,600,0.096485
4x1,200,700,0.112293
4x1,200,800,0.128087
4x1,200,900,0.143898
4x1,200,1000,0.159705
4x1,200,1100,0.175514
4x1,200,1200,0.191320
4x1,200,1300,0.207122
4x1,200,1400,0.222923
4x1,200,1500,0.238724
4x1,200,1600,0.254538
4x1,200,1700,0.270545
4x1,200,1800,0.286736
4x1,200,1900,0.302469
4x1,200,2000,0.317993
4x1,400,100,0.060847
4x1,400,200,0.120565
4x1,400,300,0.179976
4x1,400,400,0.239122
4x1,400,500,0.298319
4x1,400,600,0.357480
4x1,400,700,0.416631
4x1,400,800,0.475759
4x1,400,900,0.534863
4x1,400,1000,0.594022
4x1,400,1100,0.653158
4x1,400,1200,0.712529
4x1,400,1300,0.773551
4x1,400,1400,0.835969
4x1,400,1500,0.896778
4x1,400,1600,0.957675
4x1,400,1700,1.018581
4x1,400,1800,1.079413
4x1,400,1900,1.140258
4x1,400,2000,1.201076
4x1,800,100,0.243579
4x1,800,200,0.486752
4x1,800,300,0.735554
4x1,800,400,0.986704
4x1,800,500,1.235371
4x1,800,600,1.484710
4x1,800,700,1.736005
4x1,800,800,1.985611
4x1,800,900,2.234548
4x1,800,1000,2.485972
4x1,800,1100,2.737106
4x1,800,1200,2.987338
4x1,800,1300,3.239814
4x1,800,1400,3.488141
4x1,800,1500,3.740077
4x1,800,1600,3.989485
4x1,800,1700,4.239276
4x1,800,1800,4.489194
4x1,800,1900,4.745804
4x1,800,2000,5.007343
4x1,1200,100,0.588061
4x1,1200,200,1.173534
4x1,1200,300,1.759154
4x1,1200,400,2.329107
4x1,1200,500,2.892514
4x1,1200,600,3.453438
4x1,1200,700,4.013989
4x1,1200,800,4.573836
4x1,1200,900,5.133090
4x1,1200,1000,5.693328
4x1,1200,1100,6.259639
4x1,1200,1200,6.823590
4x1,1200,1300,7.398800
4x1,1200,1400,7.965511
4x1,1200,1500,8.526659
4x1,1200,1600,9.105117
4x1,1200,1700,9.679315
4x1,1200,1800,10.249608
4x1,1200,1900,10.808110
4x1,1200,2000,11.366203
2x2,200,100,0.018976
2x2,200,200,0.036524
2x2,200,300,0.053850
