Iteration,Error
100,2.636842e-03
200,1.564042e-03
300,1.234939e-03
400,9.969549e-04
500,8.288792e-04
600,7.093933e-04
700,6.249201e-04
800,5.635221e-04
900,5.149685e-04
1000,4.733258e-04
1100,4.361137e-04
1200,4.023104e-04
1300,3.713952e-04
1400,3.430386e-04
1500,3.169924e-04
1600,2.930449e-04
1700,2.710123e-04
1800,2.507257e-04
1900,2.320324e-04
2000,2.147939e-04
2100,1.988881e-04
2200,1.842000e-04
2300,1.706289e-04
2400,1.580832e-04
2500,1.464784e-04
2600,1.357388e-04
2700,1.257988e-04
2800,1.165940e-04
2900,1.080679e-04
3000,1.001686e-04
